"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3856","handle confrim","chromium","Tue Dec 09 15:35:25 IST 2025","passed","Tue Dec 09 15:35:29 IST 2025","","handlealert.spec.js","",""
"","870","Login To Application","chromium","Tue Dec 09 15:35:20 IST 2025","passed","Tue Dec 09 15:35:20 IST 2025","Data Driven Login test > Login With Users 14","datadriven.spec.js","",""
"","4660","handle alert","chromium","Tue Dec 09 15:35:21 IST 2025","passed","Tue Dec 09 15:35:25 IST 2025","","handlealert.spec.js","",""
"","1721","Keyboard event in playwright","chromium","Tue Dec 09 15:35:35 IST 2025","passed","Tue Dec 09 15:35:36 IST 2025","","keyboard.spec.js","",""
"","5882","Login To Application","chromium","Tue Dec 09 15:35:12 IST 2025","passed","Tue Dec 09 15:35:18 IST 2025","Data Driven Login test > Login With Users 8","datadriven.spec.js","",""
"","1336","Login To Application","chromium","Tue Dec 09 15:34:59 IST 2025","passed","Tue Dec 09 15:35:01 IST 2025","Data Driven Login test > Login With Users 3","datadriven.spec.js","",""
"","15583","file upload","chromium","Tue Dec 09 15:35:20 IST 2025","passed","Tue Dec 09 15:35:36 IST 2025","","fileupload.spec.js","",""
"","1244","Login To Application","chromium","Tue Dec 09 15:34:59 IST 2025","passed","Tue Dec 09 15:35:00 IST 2025","Data Driven Login test > Login With Users 2","datadriven.spec.js","",""
"","7535","handle multi window","chromium","Tue Dec 09 15:35:32 IST 2025","passed","Tue Dec 09 15:35:40 IST 2025","","handlemultiwindow.spec.js","",""
"","1309","Login To Application","chromium","Tue Dec 09 15:35:18 IST 2025","passed","Tue Dec 09 15:35:19 IST 2025","Data Driven Login test > Login With Users 11","datadriven.spec.js","",""
"","4307","test data login","chromium","Tue Dec 09 15:35:36 IST 2025","passed","Tue Dec 09 15:35:40 IST 2025","","logintest.spec.js","",""
"","1235","Login To Application","chromium","Tue Dec 09 15:34:59 IST 2025","passed","Tue Dec 09 15:35:00 IST 2025","Data Driven Login test > Login With Users 1","datadriven.spec.js","",""
"","5244","handle prompt","chromium","Tue Dec 09 15:35:27 IST 2025","passed","Tue Dec 09 15:35:32 IST 2025","","handlealert.spec.js","",""
"","900","Login To Application","chromium","Tue Dec 09 15:35:19 IST 2025","passed","Tue Dec 09 15:35:20 IST 2025","Data Driven Login test > Login With Users 13","datadriven.spec.js","",""
"","10901","Login To Application","chromium","Tue Dec 09 15:35:01 IST 2025","passed","Tue Dec 09 15:35:12 IST 2025","Data Driven Login test > Login With Users 6","datadriven.spec.js","",""
"","0","valid login","chromium","Tue Dec 09 15:35:36 IST 2025","skipped","Tue Dec 09 15:35:36 IST 2025","","login/verifyerrormsg.spec.js","",""
"","1755","working with load state","chromium","Tue Dec 09 15:35:36 IST 2025","passed","Tue Dec 09 15:35:38 IST 2025","","Waitforloadstate.spec.js","",""
"","6912","select value for dropdown","chromium","Tue Dec 09 15:35:20 IST 2025","passed","Tue Dec 09 15:35:27 IST 2025","","dropdown.spec.js","",""
"","11137","Login To Application","chromium","Tue Dec 09 15:35:01 IST 2025","passed","Tue Dec 09 15:35:12 IST 2025","Data Driven Login test > Login With Users 5","datadriven.spec.js","",""
"","0","valid login","chromium","Tue Dec 09 15:35:36 IST 2025","skipped","Tue Dec 09 15:35:36 IST 2025","","login/login.spec.js","",""
"","0","handle frames","chromium","Tue Dec 09 15:35:32 IST 2025","skipped","Tue Dec 09 15:35:32 IST 2025","","handleframe.spec.js","",""
"","11076","Login To Application","chromium","Tue Dec 09 15:35:01 IST 2025","passed","Tue Dec 09 15:35:12 IST 2025","Data Driven Login test > Login With Users 4","datadriven.spec.js","",""
"","1857","verify application title","chromium","Tue Dec 09 15:35:29 IST 2025","passed","Tue Dec 09 15:35:31 IST 2025","","handleautosuggestion.spec.js","",""
"","0","valid login","chromium","Tue Dec 09 15:35:36 IST 2025","skipped","Tue Dec 09 15:35:36 IST 2025","","login/mousehover.spec.js","",""
"","1133","Login To Application","chromium","Tue Dec 09 15:35:18 IST 2025","passed","Tue Dec 09 15:35:19 IST 2025","Data Driven Login test > Login With Users 10","datadriven.spec.js","",""
"","6215","Login To Application","chromium","Tue Dec 09 15:35:12 IST 2025","passed","Tue Dec 09 15:35:18 IST 2025","Data Driven Login test > Login With Users 9","datadriven.spec.js","",""
"","1276","Login To Application","chromium","Tue Dec 09 15:35:18 IST 2025","passed","Tue Dec 09 15:35:20 IST 2025","Data Driven Login test > Login With Users 12","datadriven.spec.js","",""
"","6034","Login To Application","chromium","Tue Dec 09 15:35:12 IST 2025","passed","Tue Dec 09 15:35:18 IST 2025","Data Driven Login test > Login With Users 7","datadriven.spec.js","",""
"","3620","verify application title using loop","chromium","Tue Dec 09 15:35:31 IST 2025","passed","Tue Dec 09 15:35:35 IST 2025","","handleautosuggestion.spec.js","",""
"","813","Login To Application","chromium","Tue Dec 09 15:35:20 IST 2025","passed","Tue Dec 09 15:35:21 IST 2025","Data Driven Login test > Login With Users 15","datadriven.spec.js","",""
